file,total,subregion,silence,skip
01_06_sparse_code.cha,57582334,0,21094544,2641606
01_07_sparse_code.cha,57680739,0,22273561,1847610
02_06_sparse_code.cha,57660582,0,26020406,22929630
02_07_sparse_code.cha,57018629,0,25892039,0
03_06_sparse_code.cha,56545284,0,26604360,1090141
03_07_sparse_code.cha,57439930,0,25314354,912401
04_06_sparse_code.cha,42726470,0,0,4152680
06_06_sparse_code.cha,40906370,0,0,0
06_07_sparse_code.cha,57606500,0,0,3226990
07_06_sparse_code.cha,57622180,0,0,0
07_07_sparse_code.cha,57599630,0,520660,16020520
08_06_sparse_code.cha,57603480,0,0,24031430
08_07_sparse_code.cha,57599130,0,13037950,0
09_06_sparse_code.cha,57619840,0,0,0
09_07_sparse_code.cha,57599990,0,0,0
10_06_sparse_code.cha,43158340,0,0,0
10_07_sparse_code.cha,45332960,0,6631808,5079120
11_06_sparse_code.cha,44484997,0,5814029,4790261
11_07_sparse_code.cha,44887134,0,10101266,0
12_06_sparse_code.cha,57630080,0,0,2622850
12_07_sparse_code.cha,57598117,0,14133177,2869460
13_06_sparse_code.cha,41502480,0,10624900,14062860
13_07_sparse_code.cha,43159178,0,15070998,0
14_06_sparse_code.cha,57599990,0,0,0
14_07_sparse_code.cha,57599230,0,0,33835080
15_06_sparse_code.cha,57607300,0,0,25751260
15_07_sparse_code.cha,57589792,0,18291022,0
16_06_sparse_code.cha,57612436,0,26304826,0
16_07_sparse_code.cha,57494081,0,27524755,0
17_06_sparse_code.cha,39271852,0,10570172,7037248
17_07_sparse_code.cha,57609510,0,24325508,0
18_06_sparse_code.cha,51595910,0,0,0
18_07_sparse_code.cha,45721832,0,11331322,0
19_06_sparse_code.cha,42813940,0,12844762,5768286
19_07_sparse_code.cha,39348566,0,3717170,8295533
20_06_sparse_code.cha,26051830,0,0,901130
20_07_sparse_code.cha,57192075,0,20979611,0
21_06_sparse_code.cha,51230792,0,9139826,13619827
21_07_sparse_code.cha,41619800,0,0,6493050
22_06_sparse_code.cha,52448101,0,10885443,12568264
22_07_sparse_code.cha,51731198,0,21074312,0
23_06_sparse_code.cha,57539876,0,21818250,0
23_07_sparse_code.cha,57593940,0,13605984,13569326
25_06_sparse_code.cha,45829268,0,6166184,0
25_07_sparse_code.cha,41383674,0,13561814,0
26_06_sparse_code.cha,57590737,0,29533593,0
26_07_sparse_code.cha,57594942,0,34485618,0
27_06_sparse_code.cha,57285728,0,14759798,4027833
27_07_sparse_code.cha,57420730,0,18121372,449680
28_06_sparse_code.cha,42686760,0,16585016,0
28_07_sparse_code.cha,42709981,0,12175941,0
29_06_sparse_code.cha,49938320,0,8049713,0
29_07_sparse_code.cha,47448784,0,5388306,0
30_06_sparse_code.cha,57829292,0,13150568,156920
30_07_sparse_code.cha,57284306,0,12058640,5412286
31_06_sparse_code.cha,57432540,0,27222896,434600
31_07_sparse_code.cha,57550570,0,23006320,2172650
32_06_sparse_code.cha,57454666,0,18788402,1183490
32_07_sparse_code.cha,53277514,0,13142326,607210
33_06_sparse_code.cha,48024700,0,7977570,5192600
33_07_sparse_code.cha,48079639,0,22553719,0
34_06_sparse_code.cha,57457461,0,7055459,8254670
34_07_sparse_code.cha,57578129,0,15799701,21298500
35_06_sparse_code.cha,41957937,0,12457533,1403447
35_07_sparse_code.cha,42350839,0,8418796,1521250
36_06_sparse_code.cha,40394285,0,8882420,462370
36_07_sparse_code.cha,46821603,0,15836592,290101
37_06_sparse_code.cha,57580751,0,28026089,1343790
37_07_sparse_code.cha,57261952,0,21690048,1218917
38_06_sparse_code.cha,47349513,0,1801199,4790040
38_07_sparse_code.cha,46496287,0,9268237,976810
39_06_sparse_code.cha,40334933,0,3185137,2448870
39_07_sparse_code.cha,39243659,0,0,2232270
40_06_sparse_code.cha,45784982,0,5014916,5667601
40_07_sparse_code.cha,57462159,0,18305546,4081420
41_06_sparse_code.cha,57638814,0,18507694,1975316
41_07_sparse_code.cha,57723442,0,7484854,10088360
42_06_sparse_code.cha,57629578,0,15457964,1423560
42_07_sparse_code.cha,57688008,0,18326484,4815750
43_06_sparse_code.cha,38302429,0,2047779,10227660
43_07_sparse_code.cha,53383745,0,16064651,0
44_06_sparse_code.cha,56882434,0,28650786,4613600
44_07_sparse_code.cha,37295509,0,13169987,0
45_06_sparse_code.cha,45941813,0,13379879,1187830
45_07_sparse_code.cha,38091442,0,9699592,1624980
46_06_sparse_code.cha,39636315,0,3365499,2278461
46_07_sparse_code.cha,38428500,0,4668850,2830890
