subj,speaker
01,FAT
01,SIS
01,MOT
02,MOT
02,SIS
03,MOT
03,SIS
04,MOT
04,SI2
04,TOY
04,BR2
04,BR1
06,MOT
06,FAT
06,TOY
07,FAT
07,MOT
07,MFT
07,TOY
08,FAT
09,GRM
09,TOY
09,AUN
10,MOT
10,SIS
11,MOT
11,FAT
12,MOT
12,TVN
12,MTV
12,TOY
12,MTY
13,BR2
13,MOT
13,BR1
14,MOT
14,TOY
15,MOT
15,EFS
16,GRM
16,TOY
16,EFA
16,EFS
16,TVN
16,GTY
18,MOT
18,SIS
18,EMM
18,EFA
18,FAT
19,MOT
19,FAT
19,MFT
20,FAT
20,MOT
20,EFA
21,MOT
21,EFA
21,EFE
22,MOT
23,FAT
23,TVN
25,MOT
25,TVN
26,MOT
26,BRO
27,MT2
28,MOT
28,GRM
28,GRP
29,MOT
29,FAT
29,TVN
30,MOT
30,FAT
30,TOY
30,FTV
30,TVN
31,FAT
32,MOT
32,FAT
33,MOT
33,FAT
33,TOY
33,MTY
34,GRM
34,TOY
35,MOT
35,TVN
36,MOT
36,SI2
36,AFL
37,MOT
37,TVN
37,SIS
38,MOT
38,TOY
39,MOT
39,TOY
39,MTY
40,MOT
40,FAT
40,BRO
40,SIS
41,MOT
41,FAT
41,MTY
41,TOY
42,MOT
42,FAT
42,TOY
42,MTY
43,MOT
43,TOY
43,FAT
44,MOT
44,SI1
44,SI2
44,BRO
45,TOY
45,MOT
45,FAT
46,MOT
46,FAT
46,TVN
03,TOY
04,MTY
04,UNC
06,MTY
07,MTY
09,MOT
09,TVN
09,MTY
11,TOY
11,FTY
11,EFE
13,GRM
13,GRP
13,TVN
14,SIS
16,MOT
16,MTV
17,MOT
17,BRO
17,TOY
20,TVN
21,TVN
21,TOY
21,MTV
27,MOT
30,MFT
31,GRM
31,TOY
31,SIS
34,TVN
36,TOY
38,BSS
38,GRM
38,FAT
38,BRO
39,SI2
39,SI1
43,MTY
44,TVN
45,SIS
45,MFT
01,MTY
01,MFT
02,GRO
02,MAF
02,AFM
02,TOY
02,FAT
03,FAT
03,GP2
03,AF1
03,AM1
04,AF2
04,FAT
04,BSJ
04,AF1
04,TVN
06,GRP
06,GRM
06,GTY
06,TVN
07,TVN
07,AUN
07,MCO
07,FTY
08,MOT
08,GRM
08,GRP
08,GP2
08,GRA
08,AFA
09,FAT
10,TVN
10,FAT
11,GRM
11,TVN
11,AU2
11,GP2
11,MTV
11,MFV
12,AUN
12,FAT
12,GP2
12,GRA
12,ATV
14,AM1
14,FAT
14,TVN
14,AFP
14,AFE
14,AF1
15,BRO
15,SIS
15,FAT
15,AF1
16,FAT
16,AU2
16,UN2
17,AFR
17,TVN
17,FAT
17,AFS
17,MTV
17,AF1
18,AFH
18,AF2
18,AF4
18,TOY
18,AFD
18,AFF
18,AMO
18,AMP
18,STY
18,CM1
18,TVN
19,GRM
19,GRP
19,AFS
20,CMB
20,GRM
20,AMM
20,GRP
20,AFC
21,UNC
21,FAT
21,GRM
21,AM5
21,AM4
21,FTV
21,FCO
21,AF2
22,AFA
22,FAT
22,AMR
23,MOT
23,SI1
23,GRM
23,AUN
23,BR1
23,SI2
23,GRP
23,BR2
23,FTV
23,SIS
23,STV
25,FAT
25,GRM
26,AFS
26,FAT
26,TOY
26,MTV
27,TVN
27,AM3
27,AF2
27,CM1
27,AF1
27,AFM
27,AM4
27,AM2
27,AM1
27,MMT
27,MAF
28,FAT
28,TVN
29,AUN
29,MTV
29,UNC
29,AF1
30,AF5
31,MOT
31,STY
31,AF1
31,AM1
32,GRM
32,GRP
32,UNC
32,AF1
33,AMB
33,AF2
33,AM1
33,GRM
33,AF1
34,MOT
34,AUN
34,GRP
34,FAT
35,GRM
35,FAT
35,MTV
35,TOY
36,SI1
36,BSS
36,BRO
36,FAT
36,AM1
37,FAT
37,AM1
37,AF1
37,AF2
38,CF1
38,AFA
38,AFM
38,AMM
38,AMJ
38,AF7
38,TVN
38,AF6
38,AM1
39,TVN
39,AF8
39,AF7
39,GRM
39,AF5
39,SST
39,AF6
40,AM1
40,AF8
40,CH1
40,AF6
40,AF5
40,AF7
40,MBR
41,MTV
41,AMC
41,TVN
41,AF1
42,MTV
43,AU2
43,GRM
43,GRA
43,TVN
43,UNC
43,UN2
43,GRP
44,FAT
45,GRM
46,AM2
46,AM3
46,AF1
46,AM4
46,AM1
46,AF2
01,AM1
02,AF2
02,AF1
02,CF1
02,AF3
03,TVN
04,CFZ
04,BTY
04,STY
04,CFK
06,AUN
06,MCO
08,AFP
08,MFT
09,UNC
09,GTY
11,AUN
11,GRP
11,UNC
12,AFL
13,FAT
13,AF1
13,TOY
13,BRO
13,AF2
14,MIS
15,FBR
15,FTS
17,GRM
17,AM1
18,GRM
18,GRP
18,AUN
18,MIS
18,UNC
20,AF2
20,AF1
21,AM2
21,AM3
21,AM1
21,AF1
21,GRP
22,AM2
22,AF2
22,AM1
22,AF3
22,AFB
22,AF1
22,AFH
23,BRO
23,SIB
25,GRP
25,AF1
27,GRA
27,GP2
27,MTT
27,MTV
29,TOY
30,AF1
30,AF2
30,AF3
30,CF1
30,AM1
30,CM1
30,AM2
30,MTY
32,TVN
35,AFB
35,AM1
36,AFC
36,GRA
36,CFS
36,AMM
36,MTV
37,AUN
37,GRP
38,AF1
38,AUN
38,AF5
38,MFT
38,AF4
38,UNC
38,AF3
38,AF2
39,AF2
39,CM1
39,CFA
39,AF1
39,AFS
39,AM1
39,FAT
39,AF4
39,MTV
39,CFL
39,CFR
40,GRM
40,GRO
40,AF2
40,AF3
40,AF4
40,AF1
40,TOY
41,UNC
41,AFB
41,AFD
41,GRP
41,GRM
42,TVN
42,AFB
42,AFD
42,AF1
42,GRP
42,GRM
43,UN4
43,AUN
43,AU4
43,ATV
43,AU3
